name,ts_cnt,addr_id,bank_id,del_flg,address1,address2,address3,bic_code,email_id,pin_code,addr_type,city_code,lchg_time,rcre_time,addr_b2kid,cntry_code,state_code,sector_code,lchg_user_id,rcre_user_id,cust_title_code,party_identifier,addr_identification,updated_at
AB SYSTEM SERVICES,2,DCOTPY,1,N,INDIA,,,,,,P,,2010-11-19T13:45:21,2010-06-23T12:17:09,DC101348,IN,,,SUNNYM,ANUSHAK,,,,2024-08-07 06:56:55.875
SUGAM ROSIN TERPINTINE & HERBAL PVT.LTD,2,DCOUPY,1,N,LABIPUR-06 SUSNARI NEPAL,,,,,,S,,2010-11-19T13:45:21,2010-06-23T12:17:09,DC101348,,,,SUNNYM,ANUSHAK,,,,2024-08-07 06:56:55.875
ICICI BANK,5,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-09-25T15:52:19,2013-07-03T16:08:09,DC132767,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SD TEXTILE LTD,5,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-09-25T15:52:19,2013-07-03T16:08:09,DC132767,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,5,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-09-25T15:52:19,2013-07-03T16:08:09,DC132767,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SD TEXTILE LTD,5,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-09-25T15:52:19,2013-07-03T16:08:09,DC132767,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
WINSOME YARNS LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-27T13:56:02,2013-09-01T17:11:05,DC133113,IN,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,1,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-27T13:56:02,2013-09-01T17:11:05,DC133113,,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,1,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-27T13:56:02,2013-09-01T17:11:05,DC133113,,,,CD0122,SA0371,,,D,2024-08-07 06:56:55.875
WINSOME YARNS LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-10-27T13:56:02,2013-09-01T17:11:05,DC133113,IN,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-10-31T17:12:49,2013-08-23T16:21:38,DC133080,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
MASHREQ,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-31T17:12:49,2013-08-23T16:21:38,DC133080,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-31T17:12:49,2013-08-23T16:21:38,DC133080,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-10-31T17:12:49,2013-08-23T16:21:38,DC133080,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD,4,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:03,2013-07-17T16:56:33,DC132827,IN,,,SATISHRS,PRADHUMNAN,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,4,DCADBK,1,N,"MUMBAI, INDIA",,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:03,2013-07-17T16:56:33,DC132827,,,,SATISHRS,PRADHUMNAN,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD,4,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,P,,2013-11-11T14:00:03,2013-07-17T16:56:33,DC132827,IN,,,SATISHRS,PRADHUMNAN,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,4,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:03,2013-07-17T16:56:33,DC132827,,,,SATISHRS,PRADHUMNAN,,,,2024-08-07 06:56:55.875
WINSOME TEXTILE INDUSTRIES,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-11-11T14:00:35,2013-09-20T15:55:48,DC133222,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SCB,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:35,2013-09-20T15:55:48,DC133222,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
WINSOME TEXTILE INDUSTRIES,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:35,2013-09-20T15:55:48,DC133222,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-11T14:00:35,2013-09-20T15:55:48,DC133222,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
ICICI,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-24T15:34:19,2013-09-04T17:34:39,DC133141,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-24T15:34:19,2013-09-04T17:34:39,DC133141,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-11-24T15:34:19,2013-09-04T17:34:39,DC133141,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-11-24T15:34:19,2013-09-04T17:34:39,DC133141,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
TIMURAN ENTERPRISES SDN BHD,1,DCOTPY,1,N,MALAYSIA,,,,,,P,,2013-11-28T18:48:24,2013-10-04T12:58:13,DC133294,MY,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
TIMURAN ENTERPRISES SDN BHD,1,DCOTPY,1,N,MALAYSIA,,,,,,S,,2013-11-28T18:48:24,2013-10-04T12:58:13,DC133294,MY,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,1,DCADBK,1,N,MALAYSIA,,,,,,S,,2013-11-28T18:48:24,2013-10-04T12:58:13,DC133294,,,,CD0122,SS0358,,,D,2024-08-07 06:56:55.875
LOMUS PHARMACEUTICALS PVT LTD,1,DCOUPY,1,N,NEWROAD,,,,,,S,,2013-11-28T18:48:24,2013-10-04T12:58:13,DC133294,,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,1,DCADBK,1,N,MUMBAI,,,,,,S,,2013-12-04T17:07:59,2013-11-15T16:32:03,DC133447,,,,CD0122,SA0371,,,D,2024-08-07 06:56:55.875
HINDUSTAN NATIOANL GLASS INDUSTRIAL LTD.,1,DCOTPY,1,N,INDIA,,,,,,P,,2013-12-04T17:07:59,2013-11-15T16:32:03,DC133447,IN,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
HINDUSTAN NATIOANL GLASS INDUSTRIAL LTD.,1,DCOTPY,1,N,INDIA,,,,,,S,,2013-12-04T17:07:59,2013-11-15T16:32:03,DC133447,IN,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
LOMUS PHARMACEUTICALS PVT LTD,1,DCOUPY,1,N,NEWROAD,,,,,,S,,2013-12-04T17:07:59,2013-11-15T16:32:03,DC133447,,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
LOMUS PHARMACEUTICALS PVT LTD,1,DCOUPY,1,N,NEWROAD,,,,,,S,,2013-12-10T17:15:51,2013-09-06T14:55:28,DC133155,,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,1,DCADBK,1,N,INDIA,,,,,,S,,2013-12-10T17:15:51,2013-09-06T14:55:28,DC133155,,,,CD0122,SS0358,,,D,2024-08-07 06:56:55.875
LUPIN LIMITED,1,DCOTPY,1,N,"MUMBAI, INDIA",,,,,,S,,2013-12-10T17:15:51,2013-09-06T14:55:28,DC133155,IN,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
LUPIN LIMITED,1,DCOTPY,1,N,"MUMBAI, INDIA",,,,,,P,,2013-12-10T17:15:51,2013-09-06T14:55:28,DC133155,IN,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
MALAYAN SUGAR MANUFACTURING CO. BHD.,2,DCOTPY,1,N,MALAYSIA,,,,,,P,,2013-12-15T16:33:57,2013-10-24T17:18:17,DC133361,MY,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
LOMUS PHARMACEUTICALS PVT LTD,2,DCOUPY,1,N,NEWROAD,,,,,,S,,2013-12-15T16:33:57,2013-10-24T17:18:17,DC133361,,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
MALAYAN SUGAR MANUFACTURING CO. BHD.,2,DCOTPY,1,N,MALAYSIA,,,,,,S,,2013-12-15T16:33:57,2013-10-24T17:18:17,DC133361,MY,,,CD0122,SA0371,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,2,DCADBK,1,N,MALAYSIA,,,,,,S,,2013-12-15T16:33:57,2013-10-24T17:18:17,DC133361,,,,CD0122,SA0371,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,4,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,P,,2013-12-19T18:42:06,2013-09-11T19:52:35,DC133184,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
STANDARD CHARTERED BANK,4,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-19T18:42:06,2013-09-11T19:52:35,DC133184,,,,SATISHRS,SS0358,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,4,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-19T18:42:06,2013-09-11T19:52:35,DC133184,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,4,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-19T18:42:06,2013-09-11T19:52:35,DC133184,,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-27T15:08:53,2013-10-27T15:33:44,DC133373,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-27T15:08:53,2013-10-27T15:33:44,DC133373,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SCB,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2013-12-27T15:08:53,2013-10-27T15:33:44,DC133373,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2013-12-27T15:08:53,2013-10-27T15:33:44,DC133373,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
LONGIA STEEL AND FOUNDARY WORKS,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-01-13T18:08:22,2013-11-10T16:39:22,DC133419,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
LONGIA STEEL AND FOUNDARY WORKS,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-01-13T18:08:22,2013-11-10T16:39:22,DC133419,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
PUNJAB NATIONAL BANK,1,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-01-13T18:08:22,2013-11-10T16:39:22,DC133419,,,,SATISHRS,SS0358,,,D,2024-08-07 06:56:55.875
RAJAT KNITWEARS,1,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-01-13T18:08:22,2013-11-10T16:39:22,DC133419,,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-02-09T14:27:37,2013-12-18T17:06:03,DC133576,IN,,,CD0122,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-02-09T14:27:37,2013-12-18T17:06:03,DC133576,IN,,,CD0122,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,1,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-02-09T14:27:37,2013-12-18T17:06:03,DC133576,,,,CD0122,ABHISHEKS,,,,2024-08-07 06:56:55.875
MASHREQ,1,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-02-09T14:27:37,2013-12-18T17:06:03,DC133576,,,,CD0122,ABHISHEKS,,,D,2024-08-07 06:56:55.875
FUJIAN YONTHIN DIGITAL CONTROL TECHNOLOGY C.,1,DCOTPY,1,N,CHINA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-14T15:26:10,2013-12-22T16:21:15,DC133590,CN,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,1,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-14T15:26:10,2013-12-22T16:21:15,DC133590,,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
CHINA CONSTRUCTION BANK,1,DCADBK,1,N,CHINA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-14T15:26:10,2013-12-22T16:21:15,DC133590,,,,CD0122,SS0358,,,D,2024-08-07 06:56:55.875
FUJIAN YONTHIN DIGITAL CONTROL TECHNOLOGY C.,1,DCOTPY,1,N,CHINA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-03-14T15:26:10,2013-12-22T16:21:15,DC133590,CN,,,CD0122,SS0358,,,,2024-08-07 06:56:55.875
ICICI,3,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-23T17:36:00.000000,2014-01-19T14:02:20,DC143712,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SEL TEXTILES CO. LTD.,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-23T17:36:00.000000,2014-01-19T14:02:20,DC143712,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-03-23T17:36:00.000000,2014-01-19T14:02:20,DC143712,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL TEXTILES CO. LTD.,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-03-23T17:36:00.000000,2014-01-19T14:02:20,DC143712,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD,3,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T11:18:14,2013-11-28T16:34:36,DC133481,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
PUNJAB NATIONAL BANK,3,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T11:18:14,2013-11-28T16:34:36,DC133481,,,,SATISHRS,SS0358,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD,3,DCOTPY,1,N,"LUDHIANA, INDIA",,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-01T11:18:14,2013-11-28T16:34:36,DC133481,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T11:18:14,2013-11-28T16:34:36,DC133481,,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-01T13:38:39,2014-02-07T12:54:38,DC143817,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD.,1,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T13:38:39,2014-02-07T12:54:38,DC143817,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
ICICI,1,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T13:38:39,2014-02-07T12:54:38,DC143817,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
RAJAT KNITWEARS,1,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-01T13:38:39,2014-02-07T12:54:38,DC143817,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
SEL TEXTILES. LTD.,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-02T17:20:34,2013-12-18T17:11:23,DC133577,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:20:34,2013-12-18T17:11:23,DC133577,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
MASHREQ,3,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:20:34,2013-12-18T17:11:23,DC133577,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
SEL TEXTILES. LTD.,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:20:34,2013-12-18T17:11:23,DC133577,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
MAHAKASH TRESIM PVT. LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-02T17:21:56,2014-02-07T12:48:53,DC143816,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:21:56,2014-02-07T12:48:53,DC143816,,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
MAHAKASH TRESIM PVT. LTD.,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:21:56,2014-02-07T12:48:53,DC143816,IN,,,SATISHRS,ABHISHEKS,,,,2024-08-07 06:56:55.875
ICICI,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-02T17:21:56,2014-02-07T12:48:53,DC143816,,,,SATISHRS,ABHISHEKS,,,D,2024-08-07 06:56:55.875
MOTHI SPINNER LTD,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-07T16:18:40,2014-02-21T13:34:29,DC143871,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-07T16:18:40,2014-02-21T13:34:29,DC143871,,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
MOTHI SPINNER LTD,3,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-07T16:18:40,2014-02-21T13:34:29,DC143871,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
ICICI BANK LTD,3,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-07T16:18:40,2014-02-21T13:34:29,DC143871,,,,SATISHRS,SS0358,,,D,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-16T13:58:17,2014-02-18T11:37:20,DC143855,,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
SEL TEXTILES LTD,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-16T13:58:17,2014-02-18T11:37:20,DC143855,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
ICICI BANK,2,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-16T13:58:17,2014-02-18T11:37:20,DC143855,,,,SATISHRS,SS0358,,,D,2024-08-07 06:56:55.875
SEL TEXTILES LTD,2,DCOTPY,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-16T13:58:17,2014-02-18T11:37:20,DC143855,IN,,,SATISHRS,SS0358,,,,2024-08-07 06:56:55.875
MAHAKASH TREXIM PRIVATE LIMITED,3,DCOTPY,1,N,"REG. OFFICE:11 & 11/1,B.B GANGULY STREET","1ST FLOOR,KOLKATA-700 012,WEST BENGAL",,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-16T15:21:52,2014-01-26T13:03:06,DC143760,IN,,,SATISHRS,NAMRATAM,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-16T15:21:52,2014-01-26T13:03:06,DC143760,,,,SATISHRS,NAMRATAM,,,,2024-08-07 06:56:55.875
MAHAKASH TREXIM PRIVATE LIMITED,3,DCOTPY,1,N,"REG. OFFICE:11 & 11/1,B.B GANGULY STREET","1ST FLOOR,KOLKATA-700 012,WEST BENGAL",,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-16T15:21:52,2014-01-26T13:03:06,DC143760,IN,,,SATISHRS,NAMRATAM,,,,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD,2,DCOTPY,1,N,"PLOT NO 274,DHANDARI KHURD",G.T. ROAD,LUDHIANA-141014,,RTODI.TITEX@GMAIL.COM,,P,,2014-04-25T14:22:23,2014-04-25T13:03:50,DC144169,IN,,,NAMRATAM,NAMRATAM,,,,2024-08-07 06:56:55.875
MASREQ BANK,2,DCADBK,1,N,MUMBAI,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-25T14:22:23,2014-04-25T13:03:50,DC144169,,,,NAMRATAM,NAMRATAM,,,D,2024-08-07 06:56:55.875
SEL MANUFACTURING CO. LTD,2,DCOTPY,1,N,"PLOT NO 274,DHANDARI KHURD",G.T. ROAD,LUDHIANA-141014,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-25T14:22:23,2014-04-25T13:03:50,DC144169,IN,,,NAMRATAM,NAMRATAM,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,2,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-04-25T14:22:23,2014-04-25T13:03:50,DC144169,,,,NAMRATAM,NAMRATAM,,,,2024-08-07 06:56:55.875
RAJAT KNITWEARS,3,DCOUPY,1,N,.,.,,,RTODI.TITEX@GMAIL.COM,,S,,2014-05-05T16:05:24,2014-03-17T11:57:58,DC143985,,,,SATISHRS,NAMRATAM,,,,2024-08-07 06:56:55.875
ICICI BANK,3,DCADBK,1,N,INDIA,,,,RTODI.TITEX@GMAIL.COM,,S,,2014-05-05T16:05:24,2014-03-17T11:57:58,DC143985,,,,SATISHRS,NAMRATAM,,,D,2024-08-07 06:56:55.875
