text,ts_cnt,bank_id,del_flg,text_id,func_code,lchg_time,module_id,rcre_time,text_type,lchg_user_id,rcre_user_id,entity_cre_flg,updated_at
"CEFALEXIN COMPACTED,HS CODE 29419020,QTY 50 KGVALUE USD 2750CEFACLOR,HS CODE 29419090,QTY 50 KGVALUE USD 11250",0,1,N,DC133155,,2014-02-26T15:38:08,DOCCR,2013-09-06T14:55:28,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133155,,2014-02-26T15:38:08,DOCCR,2013-09-06T14:55:28,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
REFINED GLYCERINE USPHS CODE 290545000QTY 20 MTVALUE USD 20800.00,0,1,N,DC133294,,2014-02-26T15:38:18,DOCCR,2013-10-04T12:58:13,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133294,,2014-02-26T15:38:18,DOCCR,2013-10-04T12:58:13,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
SUCROSE BP (MALAYSIAN WHITE REFINED SUGAR PXX GRADE)HARMONIC CODE: 1701.99.00QTY: 50MT,0,1,N,DC133361,,2014-02-26T15:38:42,DOCCR,2013-10-24T17:18:17,G,SATISHRS,SA0371,Y,2024-08-07 06:57:06.300
,0,1,N,DC133361,,2014-02-26T15:38:42,DOCCR,2013-10-24T17:18:17,E,SATISHRS,SA0371,Y,2024-08-07 06:57:06.300
KNITTING MACHINEQTY 7 SETSVALUE USD 114150,0,1,N,DC133590,,2014-03-14T15:26:37,DOCCR,2013-12-22T16:21:15,G,CD0122,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133590,,2014-03-14T15:26:37,DOCCR,2013-12-22T16:21:15,E,CD0122,SS0358,Y,2024-08-07 06:57:06.300
"COTTON YARN FOR KARDED KNITTINGTOTAL AMT: INR 4,670,265.60TOTAL QTY: 198.00 KGSHARMONIC CODE: 52051310",0,1,N,DC143712,,2014-03-23T17:36:34,DOCCR,2014-01-19T14:02:20,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC143712,,2014-03-23T17:36:34,DOCCR,2014-01-19T14:02:20,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
100 PCT COTTON CARDED YARNHS CODE 52051210QTY 23587.20 KGSVALUE INR 4304664.00,0,1,N,DC133481,,2014-04-01T11:18:14,DOCCR,2013-11-28T16:34:36,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133481,,2014-04-01T11:18:14,DOCCR,2013-11-28T16:34:36,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 2,181,816.00TOTAL QTY: 11793.6 KGSHARMONIC CODE: 5205.12.10",0,1,N,DC143817,,2014-04-01T13:40:13,DOCCR,2014-02-07T12:54:38,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC143817,,2014-04-01T13:40:13,DOCCR,2014-02-07T12:54:38,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 4,340,044.80 (+-5%)TOTAL QTY: 184 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC133577,,2014-04-02T17:20:34,DOCCR,2013-12-18T17:11:23,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133577,,2014-04-02T17:20:34,DOCCR,2013-12-18T17:11:23,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 2,252,578.00  (+-5%)TOTAL QTY: 11793.6 KGSHARMONIC CODE: 5205.12.10",0,1,N,DC143816,,2014-04-02T17:21:56,DOCCR,2014-02-07T12:48:53,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC143816,,2014-04-02T17:21:56,DOCCR,2014-02-07T12:48:53,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
100 PCT VISCOSE KNITTING YARNQTY 8208 KGSVALUE USD 24213.60SH CODE 55101100,0,1,N,DC143871,,2014-04-07T16:18:40,DOCCR,2014-02-21T13:34:29,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC143871,,2014-04-07T16:18:40,DOCCR,2014-02-21T13:34:29,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
COTTON YARN FOR KARDED KNITTINGQTY 23587.20 KGSVALUE INR 4693852.80,0,1,N,DC143855,,2014-04-16T13:58:45,DOCCR,2014-02-18T11:37:20,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC143855,,2014-04-16T13:58:45,DOCCR,2014-02-18T11:37:20,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
"30K GOKAK 100% COTTON YARNTOTAL QNTY:12700.80 KGSTOTAL AMT:INR 2,552,861(+- 5%)HS CODE:5205.12.10",0,1,N,DC143760,,2014-04-16T15:21:52,DOCCR,2014-01-26T13:03:06,G,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC143760,,2014-04-16T15:21:52,DOCCR,2014-01-26T13:03:06,E,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
"NE 3011 100% CARDIO COTTON YARNTOTAL AMT: INR 4,457,980.80TOTAL QTY: 22,587.20 KGSHARMONIC CODE: 52051310",0,1,N,DC144169,,2014-04-30T15:48:32,DOCCR,2014-04-25T13:03:50,G,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144169,,2014-04-30T15:48:32,DOCCR,2014-04-25T13:03:50,E,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
"100% COTTON YARN FOR KARDED KNITTINGQTY 35,380.8 KGSVALUE INR 6,922,843.20HS CODE: 5205.12.10;5204.13.10",0,1,N,DC143985,,2014-05-05T16:06:48,DOCCR,2014-03-17T11:57:58,G,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC143985,,2014-05-05T16:06:48,DOCCR,2014-03-17T11:57:58,E,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 2,087,467.20TOTAL QTY: 11793.60 KGS",0,1,N,DC144068,,2014-05-20T11:57:48,DOCCR,2014-04-01T13:23:26,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144068,,2014-05-20T11:57:48,DOCCR,2014-04-01T13:23:26,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"THERMAL ROLL/MEDICAL GOODSQTY 12000 ROLLS, 7116 PACKSVALUE USD 26690.32HS CODE 48234010",0,1,N,DC144037,,2014-06-04T15:08:56,DOCCR,2014-03-27T15:42:32,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC144037,,2014-06-04T15:08:56,DOCCR,2014-03-27T15:42:32,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 2,205,403.00(+-5%)TOTAL QTY: 11793.60 KGSHS CODE: 5205.13.10",0,1,N,DC144104,,2014-06-24T17:03:24,DOCCR,2014-04-11T11:18:25,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144104,,2014-06-24T17:03:24,DOCCR,2014-04-11T11:18:25,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON/VISCOSETOTAL AMT: INR 1,988,400.00 (+-10%)TOTAL QTY: 8000 KGSHARMONIC CODE: 55101100",0,1,N,DC144125,,2014-06-24T17:03:37,DOCCR,2014-04-16T16:48:10,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144125,,2014-06-24T17:03:37,DOCCR,2014-04-16T16:48:10,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"NE 3011 100% CARDIO COTTON YARNTOTAL AMT: INR 6,616,210.00TOTAL QTY: 35,380.80 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144196,,2014-06-24T17:03:53,DOCCR,2014-04-30T16:47:01,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144196,,2014-06-24T17:03:53,DOCCR,2014-04-30T16:47:01,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 2,352,000.00 (+-10%)TOTAL QTY: 12000 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144242,,2014-06-24T17:04:09,DOCCR,2014-05-15T13:55:30,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144242,,2014-06-24T17:04:09,DOCCR,2014-05-15T13:55:30,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 4,457,980.80TOTAL QTY: 23587.20 KGS",0,1,N,DC144067,,2014-06-26T16:47:36,DOCCR,2014-04-01T13:18:00.000000,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144067,,2014-06-26T16:47:36,DOCCR,2014-04-01T13:18:00.000000,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"KARDED HOSIERY WAXED 2-TWIST COTTON YARNTOTAL AMT: INR 4,646,678.40TOTAL QTY: 23,587.20 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144346,,2014-08-19T17:18:15,DOCCR,2014-06-04T10:43:50,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144346,,2014-08-19T17:18:15,DOCCR,2014-06-04T10:43:50,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"O.T.TABLE MODEL ELECTROMAC-I WITH ORTHO ATTACHMENTQTY 3 UNITVALUE INR 468,000.00HS CODE 9018.49.10",0,1,N,DC144548,,2014-08-24T17:09:54,DOCCR,2014-07-23T13:25:15,G,CD0122,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC144548,,2014-08-24T17:09:54,DOCCR,2014-07-23T13:25:15,E,CD0122,SS0358,Y,2024-08-07 06:57:06.300
"MICROSCOPE HS ALLEGRA 900TOTAL QNTY: 7 PCSTOTAL AMT: EURO 35,017.50HS CODE: 9011.10.90",0,1,N,DC144608,,2014-09-04T18:31:16,DOCCR,2014-08-04T18:12:47,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144608,,2014-09-04T18:31:16,DOCCR,2014-08-04T18:12:47,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"NE 3011 100% CARDED YARNTOTAL AMT: INR 4,457,980.80TOTAL QTY: 23,587.20 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144222,,2014-09-21T14:09:28,DOCCR,2014-05-09T12:20:28,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144222,,2014-09-21T14:09:28,DOCCR,2014-05-09T12:20:28,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON YARN FOR KARDED KNITTINGTOTAL AMT: INR 2,022,602.40TOTAL QTY: 11793.60 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144304,,2014-09-21T14:09:45,DOCCR,2014-05-27T12:42:25,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144304,,2014-09-21T14:09:45,DOCCR,2014-05-27T12:42:25,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"100 COTTON CARDED KNITTING YARN NE 30/1TOTAL AMT: INR 2,268,000.00(+-10%)TOTAL QTY:12,000.00 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144427,,2014-09-21T14:10:03,DOCCR,2014-06-24T15:35:41,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144427,,2014-09-21T14:10:03,DOCCR,2014-06-24T15:35:41,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"100 COTTON VISCOSE (85/15)GREY MELANFE FOR KNITTINGTOTAL AMT: INR 2,886,000.00(+-10%)TOTAL QTY:12,000.00 KGSHARMONIC CODE: 5205.23.90",0,1,N,DC144440,,2014-09-21T14:10:21,DOCCR,2014-06-26T14:53:21,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144440,,2014-09-21T14:10:21,DOCCR,2014-06-26T14:53:21,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"100 COTTON YARM CARDED WAXED FOR KNITTING ON CONETOTAL AMT: INR 2,235,794.00(+-10%)TOTAL QTY:12,020.40 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144447,,2014-09-21T14:10:35,DOCCR,2014-06-29T11:11:36,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144447,,2014-09-21T14:10:35,DOCCR,2014-06-29T11:11:36,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"SONY DVD, VIDEO PRINTER, ULTRASOUND PAPER, PRINTER PAPETOTAL AMT: USD 84,857.00TOTAL QTY: 15202 NOSHARMONIC CODE: 8443.19.00, 4823.40.10",0,1,N,DC144646,,2014-10-09T18:21:51,DOCCR,2014-08-12T15:23:24,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144646,,2014-10-09T18:21:51,DOCCR,2014-08-12T15:23:24,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"100% COTTON YARN FRO KARDED KNITTINGTOTAL QNTY: 23587.2 KGSTOTA AMT: INR 4,493,361.60HS CODE:5205.13.10",0,1,N,DC144626,,2014-10-14T15:36:35,DOCCR,2014-08-06T13:47:57,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144626,,2014-10-14T15:36:35,DOCCR,2014-08-06T13:47:57,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
POLYESTER DYED FABRICSQTY 37000 MTRHS CODE 5407.92.00,0,1,N,DC144543,,2014-10-17T15:09:40,DOCCR,2014-07-21T17:38:35,G,CD0122,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC144543,,2014-10-17T15:09:40,DOCCR,2014-07-21T17:38:35,E,CD0122,SS0358,Y,2024-08-07 06:57:06.300
"COTTON YARN FOR CARDED KNITTINGTOTAL AMT: INR 2,022,602.40TOTAL QTY: 11793.60 KGSHARMONIC CODE: 5205.12.10",0,1,N,DC144734,,2014-10-20T17:36:00.000000,DOCCR,2014-08-29T14:50:50,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144734,,2014-10-20T17:36:00.000000,DOCCR,2014-08-29T14:50:50,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 4,127,760.00TOTAL QTY: 23,587.2 KGSHS CODE: 5205.13.10",0,1,N,DC144865,,2014-11-11T15:54:57,DOCCR,2014-09-26T15:28:07,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144865,,2014-11-11T15:54:57,DOCCR,2014-09-26T15:28:07,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"INDUSTRIAL WATER TREATMENT PLANTOF CAPACITY 45M3/HRTOTAL AMT: INR 1,195,000.00TOTAL QTY:1 LOTHARMONIC CODE: 8421.21.00",0,1,N,DC144419,,2014-11-18T17:16:18,DOCCR,2014-06-23T11:42:54,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144419,,2014-11-18T17:16:18,DOCCR,2014-06-23T11:42:54,E,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 4,104,172.80TOTAL QTY: 11793.60 + 11793.60 = 23587.20 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144798,,2014-11-20T17:43:26,DOCCR,2014-09-14T13:28:03,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144798,,2014-11-20T17:43:26,DOCCR,2014-09-14T13:28:03,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR2,088,000.00TOTAL QTY: 12,000.00 KGSHS CODE: 5205.13.10",0,1,N,DC144908,,2014-11-21T15:14:15,DOCCR,2014-10-08T17:49:08,G,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC144908,,2014-11-21T15:14:15,DOCCR,2014-10-08T17:49:08,E,SATISHRS,NAMRATAM,Y,2024-08-07 06:57:06.300
"COTTON YARN CARDED WAXED FOR KNITTING ON CONETOTAL AMT: INR 1,959,325.20TOTAL QTY: 12020.40 KGSHS CODE: 5205.12.10",0,1,N,DC145047,,2014-12-01T15:44:34,DOCCR,2014-11-05T12:18:35,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC145047,,2014-12-01T15:44:34,DOCCR,2014-11-05T12:18:35,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTON CARDED GREY YARNTOTAL AMT: INR 1,959,325.20TOTAL QTY: 12020.40 KGSHS CODE: 5205.12.10",0,1,N,DC144864,,2014-12-04T15:39:42,DOCCR,2014-09-26T15:15:31,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144864,,2014-12-04T15:39:42,DOCCR,2014-09-26T15:15:31,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 2,076,000.00TOTAL QTY: 12000 KGSHARMONIC CODE: 5205.13.10",0,1,N,DC144769,,2014-12-10T18:04:26,DOCCR,2014-09-07T15:46:26,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC144769,,2014-12-10T18:04:26,DOCCR,2014-09-07T15:46:26,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
"NE 30/1 100% COTTON CARDED YARN FOR KNITTINGTOTAL QTY: 11793.60TOTAL AMT: INR 1,934,150.00HS CODE: 5205.13.10",0,1,N,DC145039,,2014-12-10T18:04:38,DOCCR,2014-11-03T17:42:31,G,CD0122,SM0457,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC145039,,2014-12-10T18:04:38,DOCCR,2014-11-03T17:42:31,E,CD0122,SM0457,Y,2024-08-07 06:57:06.300
"COTTON YARN FOR KARDED  KNITTINGTOTAL AMT: INR 1,780,833.60TOTAL QTY: 11793.60 KGSHS CODE: 5205.12.10",0,1,N,DC145094,,2015-01-04T16:30:52,DOCCR,2014-11-17T16:41:01,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC145094,,2015-01-04T16:30:52,DOCCR,2014-11-17T16:41:01,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"INFUSION PUMP, SYRINGETOTAL QTY:61TOTAL PRICE USD 34,750.00H.C:9018.39.00 & 8523.80.20",0,1,N,DC145015,,2015-01-11T18:45:46,DOCCR,2014-10-28T17:51:09,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
30 DAYS SIGHT,0,1,N,DC145015,,2015-01-11T18:45:46,DOCCR,2014-10-28T17:51:09,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"OXYWAVE, DEFIGARD, SPANDANTOTAL QTY: 23RATE:INR 1007000H.C. NO: 9018.90.00",0,1,N,DC145016,,2015-01-11T19:03:28,DOCCR,2014-10-28T18:12:54,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
30 DAYS SIGHT,0,1,N,DC145016,,2015-01-11T19:03:28,DOCCR,2014-10-28T18:12:54,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"CEILING PLATE,FITTING FOR MEDICAL GASTOTAL UNIT:44UNITTOTAL PRICE:EUR 14436.80H.C. NO:9402.90.00",0,1,N,DC145118,,2015-01-13T16:18:28,DOCCR,2014-11-21T11:57:12,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC145118,,2015-01-13T16:18:28,DOCCR,2014-11-21T11:57:12,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"GRAPHNET TS VENTILATORTOTAL AMT: USD 72,630TOTAL QTY: 8 NOSHARMONIC CODE: 9019.20.90",0,1,N,DC145219,,2015-01-16T15:06:57,DOCCR,2014-12-12T14:23:07,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC145219,,2015-01-16T15:06:57,DOCCR,2014-12-12T14:23:07,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"COTTON YARN FOR KARDED  KNITTINGTOTAL AMT: INR 3,891,888TOTAL QTY: 23587.20 KGSHS CODE: 5205.13.10",0,1,N,DC145093,,2015-01-20T16:26:41,DOCCR,2014-11-17T16:14:49,G,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
AT SIGHT,0,1,N,DC145093,,2015-01-20T16:26:41,DOCCR,2014-11-17T16:14:49,E,CD0122,PRATINAP,Y,2024-08-07 06:57:06.300
"COTTON VISCOSE YARN WAXED FOR  KNITTINGON CONETOTAL AMT: INR 2,394,101.00TOTAL QTY: 12,020.40 KGSHS CODE: 5206.12.00",0,1,N,DC145097,,2015-01-28T13:28:51,DOCCR,2014-11-18T12:56:56,G,CD0122,NAMRATAM,Y,2024-08-07 06:57:06.300
