id,os_type,device_id,fcm_web_id,gcm_reg_id,version_id,customer_id,gcm_enabled,device_model,email_address,last_modified_by,customer_login_id,gcm_activation_at,login_device_mode,last_modified_date,device_extra_details,device_id_updated_at,updated_at
11,iOS,,,,3.0.0,366,N,,,,366,,D,,"{""appVersion"":""6.6.135"",""model"":""iPhone"",""manufacturer"":""Apple Inc"",""iOSVersion"":""16.7"",""appBuildNumber"":""136""}","Row(member0=Timestamp('2024-01-11 17:08:43'), member1=None)",2024-08-07 07:05:24.929
12,Android,,,,3.0.0,332,N,Android,,,332,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-03-25 11:44:53'), member1=None)",2024-08-07 07:05:24.929
13,Android,,,,3.0.0,1180,N,Android,,,1180,,D,,"{""androidVersion"":""12"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""Google"",""model"":""Pixel 3"",""sdkVersion"":31}","Row(member0=Timestamp('2024-01-16 14:10:11'), member1=None)",2024-08-07 07:05:24.929
14,Android,,,,3.0.0,287,N,Android,,,287,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 15:42:18'), member1=None)",2024-08-07 07:05:24.929
15,Android,,,,3.0.0,861,N,Android,,,861,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 15:43:26'), member1=None)",2024-08-07 07:05:24.929
16,Android,,,,3.0.0,740,N,Android,,,740,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 15:44:02'), member1=None)",2024-08-07 07:05:24.929
17,Android,,,,3.0.0,1004,N,Android,,,1004,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-21 11:02:02'), member1=None)",2024-08-07 07:05:24.929
18,Android,,,,3.0.0,576,N,Android,,,576,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 16:27:10'), member1=None)",2024-08-07 07:05:24.929
19,Android,,,,3.0.0,574,N,Android,,,574,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 16:06:49'), member1=None)",2024-08-07 07:05:24.929
20,Android,,,,3.0.0,737,N,Android,,,737,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 15:58:17'), member1=None)",2024-08-07 07:05:24.929
21,Android,,,,3.0.0,571,N,Android,,,571,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 16:01:12'), member1=None)",2024-08-07 07:05:24.929
22,Android,,,,3.0.0,572,N,Android,,,572,,D,,"{""androidVersion"":""13"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""OnePlus"",""model"":""CPH2465"",""sdkVersion"":33}","Row(member0=Timestamp('2024-01-17 16:03:19'), member1=None)",2024-08-07 07:05:24.929
23,iOS,,,,3.0.0,573,N,,,,573,,D,,"{""manufacturer"":""Apple Inc"",""appVersion"":""6.6.143"",""iOSVersion"":""16.7"",""appBuildNumber"":""144"",""model"":""iPhone""}","Row(member0=Timestamp('2024-04-10 18:00:31'), member1=None)",2024-08-07 07:05:24.929
24,Android,2ad9216d22a9a321,,,3.0.0,148,N,Android,,,148,,D,,"{""androidVersion"":""11"",""appVersionCode"":""773"",""appVersionName"":""6.8.1-uat"",""isDeveloperOptionsEnabled"":true,""isDeviceRooted"":true,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""Genymobile"",""model"":""Redmi Note 7"",""sdkVersion"":30}","Row(member0=Timestamp('2024-07-01 10:51:19'), member1=None)",2024-08-07 07:05:24.929
25,Android,68fab57cc0dddfe9,,,3.0.0,1314,N,Android,,,1314,,D,,"{""androidVersion"":""14"",""appVersionCode"":""772"",""appVersionName"":""6.8.0-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""Xiaomi"",""model"":""23129RAA4G"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-21 11:54:52'), member1=None)",2024-08-07 07:05:24.929
26,iOS,,,,3.0.0,639,N,,,,639,,D,,"{""appVersion"":""6.6.138"",""iOSVersion"":""15.5"",""manufacturer"":""Apple Inc"",""model"":""Rojan@??"",""appBuildNumber"":""139""}","Row(member0=Timestamp('2024-02-04 14:03:25'), member1=None)",2024-08-07 07:05:24.929
28,iOS,,,,3.0.0,154,N,,,,154,,D,,"{""iOSVersion"":""16.1.1"",""model"":""iPhone"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.141"",""appBuildNumber"":""142""}","Row(member0=Timestamp('2024-03-04 11:06:18'), member1=None)",2024-08-07 07:05:24.929
29,iOS,,,,3.0.0,160,N,,,,160,,D,,"{""manufacturer"":""Apple Inc"",""iOSVersion"":""17.2.1"",""appVersion"":""6.6.138"",""appBuildNumber"":""139"",""model"":""iPhone""}","Row(member0=Timestamp('2024-07-19 12:44:06'), member1=None)",2024-08-07 07:05:24.929
30,Android,,,,3.0.0,156,N,Android,,,156,,D,,"{""androidVersion"":""12"",""appVersionCode"":""753"",""appVersionName"":""6.5.103-uat"",""isDeveloperOptionsEnabled"":true,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""samsung"",""model"":""SM-M315F"",""sdkVersion"":31}","Row(member0=Timestamp('2024-02-11 15:38:32'), member1=None)",2024-08-07 07:05:24.929
31,Android,,,,3.0.0,147,N,Android,,,147,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:43:19'), member1=None)",2024-08-07 07:05:24.929
33,Android,,,,,40,N,,,,134,,D,,"{""androidVersion"":""12"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":true,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""samsung"",""model"":""SM-M315F"",""sdkVersion"":31}","Row(member0=Timestamp('2024-03-17 14:05:43'), member1=None)",2024-08-07 07:05:24.929
34,iOS,,,,3.0.0,135,N,,,,135,,D,,"{""appBuildNumber"":""144"",""iOSVersion"":""16.1.1"",""appVersion"":""6.6.143"",""model"":""iPhone"",""manufacturer"":""Apple Inc""}","Row(member0=Timestamp('2024-03-25 17:29:28'), member1=None)",2024-08-07 07:05:24.929
35,iOS,,,,3.0.0,136,N,,,,136,,D,,"{""model"":""iPhone"",""iOSVersion"":""17.2.1"",""manufacturer"":""Apple Inc"",""appBuildNumber"":""142"",""appVersion"":""6.6.141""}","Row(member0=Timestamp('2024-02-11 16:53:50'), member1=None)",2024-08-07 07:05:24.929
36,iOS,,,,3.0.0,638,N,,,,638,,D,,"{""appBuildNumber"":""142"",""iOSVersion"":""17.2.1"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.141"",""model"":""iPhone""}","Row(member0=Timestamp('2024-02-25 10:50:21'), member1=None)",2024-08-07 07:05:24.929
37,iOS,,,,3.0.0,1319,N,,,,1318,,D,,"{""iOSVersion"":""17.3.1"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.143"",""model"":""iPhone"",""appBuildNumber"":""144""}","Row(member0=Timestamp('2024-06-30 11:53:02'), member1=None)",2024-08-07 07:05:24.929
38,Android,,,,3.0.0,959,N,Android,,,959,,D,,"{""androidVersion"":""12"",""appVersionCode"":""755"",""appVersionName"":""6.5.105-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""vivo"",""model"":""V2111"",""sdkVersion"":31}","Row(member0=Timestamp('2024-04-16 16:45:49'), member1=None)",2024-08-07 07:05:24.929
39,iOS,,,,3.0.0,789,N,,,,789,,D,,"{""appBuildNumber"":""144"",""iOSVersion"":""16.7"",""appVersion"":""6.6.143"",""model"":""iPhone"",""manufacturer"":""Apple Inc""}","Row(member0=Timestamp('2024-04-10 18:04:10'), member1=None)",2024-08-07 07:05:24.929
40,iOS,B6242A5A-0428-4CFD-AB8D-C7456094489D,,,3.0.0,851,N,,,,851,,D,,"{""iOSVersion"":""16.7"",""appBuildNumber"":""144"",""model"":""iPhone"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.143""}","Row(member0=Timestamp('2024-04-10 18:04:12'), member1=None)",2024-08-07 07:05:24.929
41,Android,28d8806bf6988128,,,3.0.0,1311,N,Android,,,1311,,D,,"{""androidVersion"":""13"",""appVersionCode"":""757"",""appVersionName"":""6.5.107-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""samsung"",""model"":""SM-A325F"",""sdkVersion"":33}","Row(member0=Timestamp('2024-05-10 11:47:15'), member1=None)",2024-08-07 07:05:24.929
42,Android,,,,3.0.0,143,N,Android,,,143,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:38:16'), member1=None)",2024-08-07 07:05:24.929
43,Android,,,,3.0.0,144,N,Android,,,144,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:39:10'), member1=None)",2024-08-07 07:05:24.929
44,Android,fb0ba00fae8e3b10,,,3.0.0,158,N,Android,,,158,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:57:03'), member1=None)",2024-08-07 07:05:24.929
45,Android,,,,3.0.0,188,N,Android,,,188,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:55:56'), member1=None)",2024-08-07 07:05:24.929
46,Android,,,,3.0.0,159,N,Android,,,159,,D,,"{""androidVersion"":""14"",""appVersionCode"":""749"",""appVersionName"":""6.5.99-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""realme"",""model"":""RMX3686"",""sdkVersion"":34}","Row(member0=Timestamp('2024-07-04 14:57:01'), member1=None)",2024-08-07 07:05:24.929
