ate_bna,ate_num,ate_adr1,ate_adr2,ate_code,ate_fees,ate_labe,ate_ip_addr,ate_tmk_kcv,ate_tmk_key,ate_tpk_kcv,ate_tpk_key,ate_aca_code,ate_aco_code,ate_ael_code,ate_afa_code,ate_agr_code,ate_amo_code,ate_apr_code,ate_atc_code,ate_atd_code,ate_ats_code,ate_ban_code,ate_bna_type,ate_bra_code,ate_cit_code,ate_hky_code,ate_int_code,ate_int_loro,ate_last_tsn,ate_latitude,ate_location,ate_mer_iden,ate_tds_code,ate_adre_pobx,ate_adre_stat,ate_adre_stre,ate_adre_zipd,ate_crea_date,ate_disp_cas1,ate_disp_cas2,ate_disp_cas3,ate_disp_cas4,ate_disp_hop1,ate_disp_hop2,ate_disp_hop3,ate_disp_hop4,ate_longitude,ate_loro_account,ate_mer_acc_numb,ate_cardless_flag,ate_defa_curr_code,ate_last_tran_date,ate_cut_off_end_time,ate_cut_off_star_time,updated_at
,ATM440552,Dlytica KTM SM JORPATI,,1070360,,Dlytica KTM SM JORPATI,172.27.13.98,,E6D42D90083645A46B5186B28C3B326D,,BAD8876C8D03C3AACD0E827EE4000DD0,,9788,3.0,1,1015089,2.0,2,1069560,1069540,4.0,1,,5395,68821,,363,30,43381.0,,,1007053,1069940,,,,,,8.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:19:18,,,2024-08-07 07:01:23.859
,ATM948659,Dlytica TRADE MALL POK,,1076600,,Dlytica TRADE MALL POK,172.27.6.170,,0BFF5F08C21AC54742C4DCC91E406DDC,,75EBA838ED010060E9675B5147101615,,9788,3.0,1,1015000,6.0,2,1075800,1075780,6.0,1,,5408,69561,,675,30,19010.0,,,1007016,1076180,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:26:44,,,2024-08-07 07:01:23.859
,ATM793445,Dlytica BBSM KALANKI,,1077620,,Dlytica BBSM KALANKI,172.27.10.58,,F8AD62E5006556E18576D6AD1A2D04BA,,79E930E234AD03F645E921D30F90EB2D,,9788,3.0,1,1015089,2.0,2,1076820,1076800,4.0,1,,5395,68821,,726,30,41452.0,,,1007053,1077200,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:27:46,,,2024-08-07 07:01:23.859
,ATM739233,Dlytica LRI KALANKI EXT CTR,,1074460,,Dlytica LRI KALANKI EXT CTR,172.26.15.186,,5F51D39BA17434DAA12EFC0AD19ACCB8,,FD5AE4348AFFB6450667A6C7765BC228,,9788,3.0,1,1014920,1.0,2,1073660,1073640,4.0,1,,5306,68821,,568,30,66050.0,,,1007010,1074040,,,,,,8.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:28:03,,,2024-08-07 07:01:23.859
,ATM631719,Dlytica GAA HALL THAMEL,,1074380,,Dlytica GAA HALL THAMEL,172.27.11.194,,B06F6554FC575382C96C6BF7AF0A9298,,23C2EEC0655B0AA0F9928AB886825DE6,,11227,3.0,1,1015089,1.0,3,1073580,1073560,4.0,1,,5395,68821,,564,30,13914.0,,,1007053,1073960,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:41:48,,,2024-08-07 07:01:23.859
,ATM146132,Dlytica SIYARI RURAL MUN EXT CTR,,1092940,,Dlytica SIYARI RURAL MUN EXT CTR,172.26.18.138,,FD21D57D62F0B455D25F90E425260CCB,,F69E8FBD3279B84F1043486598B97E01,,21226,3.0,1,1015020,1.0,1,1092540,1094120,6.0,1,,5454,70641,,895,30,1753.0,,1.0,,1090920,,,,,,,,,,,,,,,930015240014,,,150,2024-07-28T15:59:25,,,2024-08-07 07:01:23.859
,ATM883849,Dlytica DHADINGBESHI,,1077820,,Dlytica DHADINGBESHI,172.26.10.58,,9DD01AE069B131F5C5A1E51C47284CF3,,DD971400C51A39B753838A2FD237DE1F,,11227,3.0,1,1014920,1.0,3,1077020,1077000,4.0,1,,5224,68741,,736,30,64329.0,,,1007145,1077400,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:02:56,,,2024-08-07 07:01:23.859
,ATM228123,Dlytica SALESBERRY MAHARAJGUNJ,,1077140,,Dlytica SALESBERRY MAHARAJGUNJ,172.27.10.26,,CB14000F3F7FF6D34F4D1015F4936266,,EC51BF880FC0D77A69433E2150D49AEA,,9788,3.0,1,1015089,6.0,2,1076340,1076320,6.0,1,,5395,68821,,702,30,16091.0,,,1007053,1076720,,,,,,25.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:06:07,,,2024-08-07 07:01:23.859
,ATM818442,Dlytica NEA RATNAPARK OFFICE,,1077080,,Dlytica NEA RATNAPARK OFFICE,172.27.10.34,,DF5095097483590C13E5746C85F52C1E,,C9EC772F440A2DDD1BDD55B30F82598B,,21226,3.0,1,1015089,1.0,1,1076280,1076260,6.0,1,,5425,68821,,699,30,39029.0,,,1007053,1076660,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:10:09,,,2024-08-07 07:01:23.859
,ATM708617,Dlytica DIKTEL BRANCH,,1069600,,Dlytica DIKTEL BRANCH,172.26.15.226,,0A64418F5EB9CFB647E8121A2CC6DAD8,,A82F60BF452D9D1403FD1E7BC772688D,,11278,3.0,1,1015040,1.0,1,1068800,1068780,4.0,1,,5235,66361,,325,30,37890.0,,,1007295,1069180,,,,,,2.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:24:45,,,2024-08-07 07:01:23.859
,ATM768398,Dlytica JOSHIPUR,,1076960,,Dlytica JOSHIPUR,172.26.9.114,,6F0E35A74B32CA23786691E449F10D01,,5AA582D2746AC261B962C600F58219CB,,9788,3.0,1,1015044,6.0,2,1076160,1076140,6.0,1,,5298,88601,,693,30,33618.0,,,1007123,1076540,,,,,,,,,,,,,,,930015240014,,,150,2024-07-28T16:35:32,,,2024-08-07 07:01:23.859
,ATM788038,Dlytica JAGARNATHPUR BRANCH,,1088520,,Dlytica JAGARNATHPUR BRANCH,172.26.18.218,,02A6675259C2351F2391F5C0746A943B,,0818807298E64C753D78C20EBD50516C,,21226,3.0,1,1012040,1.0,1,1088120,1089700,4.0,1,,5287,67641,,816,30,10121.0,,1.0,,1086500,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:43:19,,,2024-08-07 07:01:23.859
,ATM823060,Dlytica GRAMTHAN BRANCH,,1076200,,Dlytica GRAMTHAN BRANCH,172.26.17.226,,87D2F42A43CBBA1107549C46794537E9,,C69E2AE2A782DF372997C7D91F95199D,,9788,3.0,1,1015040,2.0,2,1075400,1075380,4.0,1,,5272,88461,,655,30,28616.0,,,1007324,1075780,,,,,,25.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:46:50,,,2024-08-07 07:01:23.859
,ATM562620,Dlytica JUMLA,,1077920,,Dlytica JUMLA,172.26.9.194,,0455A018C8B97694AD870B63E9E1EF41,,C2BBEFEF47363FD53F25608E5B89E425,,21226,3.0,1,1014480,2.0,1,1077120,1077100,0.0,1,,5299,70881,,741,30,15363.0,,,1007120,1077500,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T16:57:52,,,2024-08-07 07:01:23.859
,ATM356645,Dlytica Lamki,,1075680,,Dlytica Lamki,172.26.8.90,,2E07CD2CC71588B2DC66CAF8B7718B54,,CE3A3FA92AD7704BE42A1D34FDB52082,,9788,3.0,1,1015044,2.0,2,1074880,1074860,6.0,1,,5339,71661,,629,30,52855.0,,,1007086,1075260,,,,,,25.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:00:19,,,2024-08-07 07:01:23.859
,ATM405344,Dlytica BALARA BRANCH,,1092560,,Dlytica BALARA BRANCH,172.26.18.306,,7486D4857EDA92D7F65EAA2989D40D02,,11FF345C5F36BF5942F1A1C489679EAC,,21226,3.0,1,1012040,1.0,1,1092240,1093820,6.0,1,,5146,68261,,892,30,9808.0,,1.0,,1090540,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:02:05,,,2024-08-07 07:01:23.859
,ATM913644,Dlytica SYAFRUBESI BRANCH,,1070300,,Dlytica SYAFRUBESI BRANCH,172.26.17.2,,1831DE0CB4AA40F1D9792C29216262AA,,D690231A09CBD437450324709DCC2EA3,,11278,3.0,1,1014920,2.0,1,1069500,1069480,0.0,1,,5463,89221,,360,30,13827.0,,,1007290,1069880,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:20:45,,,2024-08-07 07:01:23.859
,ATM207819,Dlytica BETRAWATI BRANCH,,1071700,,Dlytica BETRAWATI BRANCH,172.26.10.146,,B0E17ECF2A9A722FB7331BA6B387C987,,F34A537033CFC685A57907A7D049AB75,,11227,3.0,1,1014920,1.0,3,1070900,1070880,4.0,1,,5169,69261,,430,30,30428.0,,,1007193,1071280,,,,,,8.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:23:16,,,2024-08-07 07:01:23.859
,ATM390600,Dlytica RAMAILO,,1077000,,Dlytica RAMAILO,172.26.8.226,,497F050096EC2E2FB4345F54856B31D3,,3B4A8674293F792EDB5CB96240832AB5,,9788,3.0,1,1015040,1.0,2,1076200,1076180,4.0,1,,5422,88621,,695,30,47750.0,,,1007133,1076580,,,,,,0.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:23:19,,,2024-08-07 07:01:23.859
,ATM914384,Dlytica NAAGPOKHARI BRANCH,,1069980,,Dlytica NAAGPOKHARI BRANCH,172.26.17.58,,D6C1022FCAA5BD7857459B08F61D5E28,,D6ED8FE0EF80FFC7774D62C5DCA9BB82,,9788,3.0,1,1014920,1.0,2,1069180,1069160,6.0,1,,5375,68821,,344,30,22845.0,,,1007315,1069560,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:25:12,,,2024-08-07 07:01:23.859
,ATM232120,Dlytica NAYAPOOL,,1077300,,Dlytica NAYAPOOL,172.26.8.178,,5D4B87D2CAE516130630A6A3123FE773,,15DD2E9C36F4042FEBA651F9561205BB,,9788,3.0,1,1015000,1.0,2,1076500,1076480,4.0,1,,5380,88681,,710,30,20514.0,,,1007106,1076880,,,,,,7.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:25:13,,,2024-08-07 07:01:23.859
,ATM448785,Dlytica POKHARA M BRANCH ATM II,,1069440,,Dlytica POKHARA M BRANCH ATM II,172.26.6.44,,8F41CEF47A1A8163C8F1904C24BBB490,,9E91F8E5C5B7C3C1FF0506638AB4B9DA,,11278,3.0,1,1015000,1.0,1,1068640,1068620,4.0,1,,5408,69561,,317,30,60135.0,,,1007016,1069020,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:33:22,,,2024-08-07 07:01:23.859
,ATM355872,Dlytica KAMALADI BRANCH,KTM,1082520,,Dlytica KAMALADI BRANCH,172.26.6.138,,4FCE6B1AE5A9C348D0A11A2A2A56D210,,102FCCB47426CF9F4F201FD4C1829F6B,,21226,3.0,1,1014920,1.0,1,1082120,1083700,6.0,1,,5309,68821,,790,30,7114.0,,1.0,,1081300,,,,,,2.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:35:28,,,2024-08-07 07:01:23.859
,ATM257889,Dlytica BIRAUTA BRANCH ATM II,,1074100,,Dlytica BIRAUTA BRANCH ATM II,172.26.8.20,,8762EDC6C872405CF08D20FB8C9788D8,,2BD52A3206A81028B6EB505FCB88B418,,9788,3.0,1,1015000,1.0,2,1073300,1073280,4.0,1,,5185,69561,,550,30,5845.0,,,1007075,1073680,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:41:05,,,2024-08-07 07:01:23.859
,ATM153615,Dlytica DHAPASI BRANCH,,1082120,,Dlytica DHAPASI BRANCH,172.26.18.34,,8C5FF00CC09A5AE310733793EB9CFD84,,F3EF99FC4F36EFB4E58EF6F37148EE27,,9788,3.0,1,1014920,1.0,2,1081720,1083300,6.0,1,,5192,68881,,789,30,9043.0,,1.0,,1080900,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:41:44,,,2024-08-07 07:01:23.859
,ATM429755,Dlytica NEW BANESHWOR,,1071240,,Dlytica NEW BANESHWOR,172.26.7.18,,DF2F6077A55378A9166D554AA9187E92,,59D7505BB6271E93905C292787039FCC,,9788,3.0,1,1014920,1.0,2,1070440,1070420,4.0,1,,5383,68821,,407,30,13109.0,,,1007049,1070820,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:42:07,,,2024-08-07 07:01:23.859
,ATM944239,Dlytica OKHALDHUNGA BRANCH,,1071820,,Dlytica OKHALDHUNGA BRANCH,172.26.17.218,,D1EA3810572CC0E5D910207A6A7458F1,,EBAFC66ED991CB5B19B042F25705BB99,,9788,3.0,1,1015040,1.0,2,1071020,1071000,6.0,1,,5388,66581,,436,30,23730.0,,,1007117,1071400,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:42:51,,,2024-08-07 07:01:23.859
,ATM104826,Dlytica HARIHAR BHAWAN PULCWK,,1074260,,Dlytica HARIHAR BHAWAN PULCWK,172.27.11.162,,57FD0495941BBA5757EA3FC29819FEFE,,F24FFA8653680244452F8AC9F8BCC1F1,,9788,3.0,1,1015089,2.0,2,1073460,1073440,6.0,1,,5395,69161,,558,30,12873.0,,,1007053,1073840,,,,,,6.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:46:23,,,2024-08-07 07:01:23.859
,ATM933460,Dlytica BANDIPUR GAUNPALIKA EXT CTR,,1103320,,Dlytica BANDIPUR GAUNPALIKA EXT CTR,172.27.16.74,,1CAFAC3942321A387C1E65037CA531EA,,5A72293FD462B10F926AB49BF3401E64,,9788,3.0,1,1015000,1.0,2,1104120,1105700,4.0,1,,5246,88841,,988,30,178.0,,1.0,,1101300,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:46:48,,,2024-08-07 07:01:23.859
,ATM213809,Dlytica DEWANGUNJ BRANCH,,1091440,,Dlytica DEWANGUNJ BRANCH,172.26.19.146,,DE321EAD87B076813B35FB1B28E2DE82,,CD93B718189361457B0A9FB922AA3BF4,,21226,3.0,1,1015040,1.0,1,1091040,1092620,4.0,1,,5223,66761,,834,30,11155.0,,1.0,,1089420,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:47:18,,,2024-08-07 07:01:23.859
,ATM685834,Dlytica HARIPURWA BRANCH,,1102920,,Dlytica HARIPURWA BRANCH,172.26.20.42,,393F294A7203252FA6C038AB249F0B62,,8866C171F1CA4BC67FB4FF060745A179,,9788,3.0,1,1012040,1.0,2,1103720,1105300,4.0,1,,5278,68241,,987,30,2568.0,,1.0,,1100900,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:47:35,,,2024-08-07 07:01:23.859
,ATM660938,Dlytica CHABAHIL LOUNGE,,1075420,,Dlytica CHABAHIL LOUNGE,172.27.6.122,,8389CD26099AFA287881AEC3CE3C8329,,6CC74ECFA262C5C6F97C3F098493BA33,,11288,3.0,1,1015089,1.0,3,1074620,1074600,4.0,1,,5395,68821,,616,30,78813.0,,,1007053,1075000,,,,,,0.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:49:03,,,2024-08-07 07:01:23.859
,ATM344922,Dlytica DHANUSHADHAM BRANCH,,1086540,,Dlytica DHANUSHADHAM BRANCH,172.26.19.10,,EE720D2B2956C0D3B6BC3713AEF3C6AA,,2607B33949A6FC10CA7F79EA227167C8,,21226,3.0,1,1012040,1.0,1,1086140,1087720,4.0,1,,5229,67201,,807,30,16171.0,,1.0,,1084520,,,,,,,,,,,,,,,930015240014,,,150,2024-07-28T17:49:40,,,2024-08-07 07:01:23.859
,ATM774262,Dlytica KUPONDOLE BM,,1076840,,Dlytica KUPONDOLE BM,172.27.9.218,,23C92B3153A69367223C58C726B495DE,,4C36F230020DF7A4C9A6F68278A8BD2B,,9788,3.0,1,1015089,2.0,2,1076040,1076020,4.0,1,,5395,69161,,687,30,29110.0,,,1007053,1076420,,,,,,25.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:57:11,,,2024-08-07 07:01:23.859
,ATM716841,Dlytica SWASTHYA BIBHAG TEKU,,1074180,,Dlytica SWASTHYA BIBHAG TEKU,172.27.11.122,,D5B560FB7AED2A62A26413061F7FE2AB,,C39D840276A2BCB227E44FA3D15E018E,,11227,3.0,1,1015089,1.0,3,1073380,1073360,4.0,1,,5395,68821,,554,30,19590.0,,,1007053,1073760,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T17:57:50,,,2024-08-07 07:01:23.859
,ATM592776,Dlytica THAPATHALI BRANCH CRM,,1078520,,Dlytica THAPATHALI BRANCH CRM,172.26.11.165,,481C6A55EDE5955EAD70DCD291B9B71C,,4362C24596886EC8E17D91C60ECD052F,,11278,3.0,1,1014920,1.0,1,1077720,1077700,4.0,1,,5212,68821,,771,30,11727.0,,1.0,,1078100,,,,,,7.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:00:54,,,2024-08-07 07:01:23.859
,ATM515301,Dlytica LIWANG BRANCH,,1092160,,Dlytica LIWANG BRANCH,172.26.19.154,,F25CC82079218A6E234CF62441500016,,B11F57E28D23A119D6A8B8DD83EEBCDA,,21226,3.0,1,1015020,1.0,1,1091760,1093340,4.0,1,,5345,70561,,871,30,9124.0,,1.0,,1090140,,,,,,3.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:05:55,,,2024-08-07 07:01:23.859
,ATM182560,Dlytica HIGH COURT PATAN EXT CTR,,1074240,,Dlytica HIGH COURT PATAN EXT CTR,172.26.15.194,,20CA66FFB4BBC7240DAB3C46542D50ED,,CAAC37B45954B53085F719FBD7777242,,11227,3.0,1,1014920,1.0,3,1073440,1073420,4.0,1,,5412,69161,,557,30,10400.0,,,1007033,1073820,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:06:52,,,2024-08-07 07:01:23.859
,ATM800745,Dlytica THAMEL BRANCH,,1071280,,Dlytica THAMEL BRANCH,172.26.7.34,,78DF974EA1FB6CC43E7CA0E287135254,,323C963E6195A2E2EA553B75EE0935B0,,9788,3.0,1,1014920,1.0,2,1070480,1070460,4.0,1,,5473,68821,,409,30,18275.0,,,1007048,1070860,,,,,,2.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:08:22,,,2024-08-07 07:01:23.859
,ATM384821,Dlytica LAKESIDE POK,,1075440,,Dlytica LAKESIDE POK,172.26.8.34,,3A7DA47042E53CFCF1A8D5659D228643,,928CA9EC7B3A4D813B6BA8ADE8F94F2C,,9788,3.0,1,1015000,1.0,2,1074640,1074620,4.0,1,,5336,69561,,617,30,20177.0,,,10070A2,1075020,,,,,,3.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:12:16,,,2024-08-07 07:01:23.859
,ATM107206,Dlytica TYANGLAPHAT BRANCH,,1072280,,Dlytica TYANGLAPHAT BRANCH,172.26.11.250,,9DDDDE5D4CC21BFFEDB3A82C38DE710A,,FAB18EAF3020B3AA7BE7A0AA1E130CE9,,11227,3.0,1,1014920,1.0,3,1071480,1071460,4.0,1,,5485,68821,,459,30,105036.0,,,1007318,1071860,,,,,,21.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:12:38,,,2024-08-07 07:01:23.859
,ATM342648,Dlytica OKHALDHUNGA COMMUNITY HP,,1092460,,Dlytica OKHALDHUNGA COMMUNITY HP,172.27.13.194,,3E69B5FB3C150AB7865DDFFD0363ECB0,,700524BE7DB20F5B60C9AAF7121C9417,,21226,3.0,1,1015040,1.0,1,1092140,1093720,6.0,1,,5388,66581,,887,30,5879.0,,1.0,,1090440,,,,,,10.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:13:29,,,2024-08-07 07:01:23.859
,ATM154190,Dlytica KTM METRO-11 TRIPURESHWOR EXT CTR,,1073760,,Dlytica KTM METRO-11 TRIPURESHWOR EXT CTR,172.26.17.178,,AD740EFF4941BDE459057058BF39C22C,,82BCEEFBBA4052AFFF1B497962519788,,11227,3.0,1,1014920,1.0,3,1072960,1072940,4.0,1,,5482,68821,,533,30,20645.0,,,1007001,1073340,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:15:46,,,2024-08-07 07:01:23.859
,ATM435881,Dlytica MANEBHANJYANG BRANCH,,1094120,,Dlytica MANEBHANJYANG BRANCH,10.96.15.29,,63637457D08AC86920934896A8B9DD60,,E272069B65F064BD97C238E13324858F,,21226,3.0,1,1015040,1.0,1,1093720,1095300,6.0,1,,5362,68021,,896,30,5382.0,,1.0,,1092100,,,,,,17.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:16:43,,,2024-08-07 07:01:23.859
,ATM416274,Dlytica SINAMANGAL TARA HALL CHOWK ATM II,,1075180,,Dlytica SINAMANGAL TARA HALL CHOWK ATM II,172.27.14.44,,B79A3254969E93B84D4E7155C2ACAFA9,,8ACAD160EC21A3342EEF02C965E14F87,,9788,3.0,1,1015089,1.0,2,1074380,1074360,4.0,1,,5395,68821,,604,30,24137.0,,,1007053,1074760,,,,,,2.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T18:20:13,,,2024-08-07 07:01:23.859
,ATM716819,Dlytica LABANI BRANCH,,1069620,,Dlytica LABANI BRANCH,172.26.16.194,,36CCB3E3E54A2D2F6FC4D5D39CC45D9C,,8A2B2C057F0F3BB54024669F21B31B32,,11278,3.0,1,1015020,1.0,1,1068820,1068800,6.0,1,,5333,70301,,326,30,30171.0,,,1007199,1069200,,,,,,,,,,,,,,,930015240014,,,150,2024-07-28T18:22:37,,,2024-08-07 07:01:23.859
